source,user_id,reduced_condition,condition_order,mental_demand_a,mental_demand_reduced,mental_demand_diff_a_minus_reduced,physical_demand_a,physical_demand_reduced,physical_demand_diff_a_minus_reduced,temporal_demand_a,temporal_demand_reduced,temporal_demand_diff_a_minus_reduced,frustration_a,frustration_reduced,frustration_diff_a_minus_reduced,effort_a,effort_reduced,effort_diff_a_minus_reduced,performance_a,performance_reduced,performance_diff_a_minus_reduced,confidence_a,confidence_reduced,confidence_diff_a_minus_reduced,evidence_findability_a,evidence_findability_reduced,evidence_findability_diff_a_minus_reduced,step_pinpointing_a,step_pinpointing_reduced,step_pinpointing_diff_a_minus_reduced,actionable_recommendations_a,actionable_recommendations_reduced,actionable_recommendations_diff_a_minus_reduced,divergence_understanding_a,divergence_understanding_reduced,divergence_understanding_diff_a_minus_reduced,comparison_efficiency_a,comparison_efficiency_reduced,comparison_efficiency_diff_a_minus_reduced,nasa_workload_5d_a,nasa_workload_5d_reduced,nasa_workload_5d_diff_a_minus_reduced,less_manual_log_search_a,less_manual_log_search_reduced,less_manual_log_search_diff_a_minus_reduced,reasoning_panel_helpful_a,reasoning_panel_helpful_reduced,reasoning_panel_helpful_diff_a_minus_reduced
dag,2,Condition B,A_second,6,7,-1,4,3,1,2,3,-1,1,0,1,6,7,-1,7,1,6,5,6,-1,5,3,2,5,5,0,2.0,5.0,-3.0,1.0,1.0,0.0,4.0,1.0,3.0,3.8333333333333335,5.0,-1.1666666666666665,,,,,,
dag,4,Condition B,A_first,2,1,1,2,1,1,3,1,2,1,1,0,1,1,0,6,8,-2,8,7,1,6,7,-1,8,7,1,8.0,7.0,1.0,9.0,7.0,2.0,9.0,7.0,2.0,2.3333333333333335,1.3333333333333333,1.0000000000000002,,,,,,
dag,6,Condition B,A_second,2,6,-4,1,1,0,5,5,0,1,1,0,2,2,0,5,2,3,5,3,2,5,7,-2,4,2,2,5.0,7.0,-2.0,5.0,1.0,4.0,7.0,7.0,0.0,2.8333333333333335,4.0,-1.1666666666666665,,,,,,
dag,8,Condition B,A_second,5,8,-3,0,0,0,1,2,-1,1,1,0,5,1,4,9,9,0,9,9,0,5,5,0,4,3,1,8.0,7.0,1.0,6.0,3.0,3.0,4.0,4.0,0.0,2.3333333333333335,2.3333333333333335,0.0,,,,,,
dag,10,Condition B,A_first,5,3,2,2,2,0,5,3,2,2,1,1,4,4,0,8,9,-1,8,9,-1,9,10,-1,9,9,0,7.0,7.0,0.0,9.0,6.0,3.0,9.0,8.0,1.0,3.5,2.5,1.0,,,,,,
dag,12,Condition B,A_second,3,5,-2,3,3,0,3,3,0,1,1,0,2,2,0,3,7,-4,7,5,2,8,7,1,5,4,1,8.0,7.0,1.0,9.0,9.0,0.0,9.0,9.0,0.0,3.3333333333333335,3.0,0.3333333333333335,,,,,,
dag,21,Condition B,A_first,3,0,3,0,0,0,7,5,2,0,0,0,5,4,1,8,8,0,8,9,-1,9,9,0,8,8,0,9.0,8.0,1.0,7.0,7.0,0.0,10.0,10.0,0.0,3.0,2.0,1.0,,,,,,
dag,23,Condition B,A_second,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,8,9,-1,10,10,0,8,10,-2,9.0,9.0,0.0,10.0,10.0,0.0,8.0,9.0,-1.0,0.3333333333333333,0.3333333333333333,0.0,,,,,,
dag,24,Condition B,A_first,2,1,1,7,4,3,1,0,1,0,0,0,1,1,0,10,10,0,10,10,0,10,10,0,10,10,0,10.0,10.0,0.0,9.0,9.0,0.0,10.0,10.0,0.0,2.0,1.1666666666666667,0.8333333333333333,,,,,,
evidence,1,Condition C,A_first,3,6,-3,4,8,-4,1,5,-4,0,3,-3,3,4,-1,8,6,2,6,3,3,6,3,3,4,4,0,,,,,,,,,,2.3333333333333335,5.166666666666667,-2.8333333333333335,7.0,3.0,4.0,5.0,5.0,0.0
evidence,3,Condition C,A_first,3,1,2,1,1,0,1,1,0,1,1,0,2,3,-1,3,5,-2,4,5,-1,8,4,4,9,8,1,,,,,,,,,,2.6666666666666665,2.1666666666666665,0.5,6.0,2.0,4.0,8.0,8.0,0.0
evidence,5,Condition C,A_second,4,6,-2,3,3,0,3,3,0,3,2,1,5,6,-1,8,8,0,8,8,0,8,7,1,6,5,1,,,,,,,,,,3.5,3.8333333333333335,-0.3333333333333335,8.0,8.0,0.0,7.0,8.0,-1.0
evidence,7,Condition C,A_first,3,8,-5,1,6,-5,2,5,-3,0,7,-7,0,6,-6,10,3,7,9,6,3,9,4,5,10,3,7,,,,,,,,,,1.1666666666666667,6.666666666666667,-5.5,9.0,2.0,7.0,10.0,0.0,10.0
evidence,9,Condition C,A_second,3,7,-4,1,1,0,3,7,-4,2,6,-4,3,5,-2,7,3,4,7,5,2,5,3,2,9,3,6,,,,,,,,,,2.6666666666666665,5.666666666666667,-3.0000000000000004,9.0,8.0,1.0,9.0,6.0,3.0
evidence,11,Condition C,A_first,4,4,0,2,1,1,3,1,2,2,1,1,3,4,-1,10,9,1,6,7,-1,8,3,5,5,4,1,,,,,,,,,,2.5,2.1666666666666665,0.3333333333333335,8.0,3.0,5.0,9.0,5.0,4.0
evidence,22,Condition C,A_first,2,5,-3,2,5,-3,3,7,-4,1,2,-1,3,6,-3,10,10,0,10,10,0,10,7,3,8,7,1,,,,,,,,,,2.0,4.333333333333333,-2.333333333333333,9.0,6.0,3.0,10.0,8.0,2.0
evidence,25,Condition C,A_first,2,4,-2,0,0,0,1,1,0,0,4,-4,1,5,-4,6,4,2,7,4,3,8,4,4,9,4,5,,,,,,,,,,1.5,3.5,-2.0,10.0,2.0,8.0,8.0,2.0,6.0
evidence,26,Condition C,A_second,3,4,-1,2,3,-1,2,4,-2,2,3,-1,1,5,-4,9,7,2,9,6,3,8,6,2,8,5,3,,,,,,,,,,2.0,3.8333333333333335,-1.8333333333333335,8.0,4.0,4.0,8.0,6.0,2.0
